Date,Time,Heart rate,Source
2026.08.25 00:00:00,00:00:00,66,
2026.08.25 00:01:00,00:01:00,59,
2026.08.25 00:02:00,00:02:00,64,
2026.08.25 00:03:00,00:03:00,63,
2026.08.25 00:04:00,00:04:00,65,
2026.08.25 00:05:00,00:05:00,67,
2026.08.25 00:06:00,00:06:00,70,
2026.08.25 00:07:00,00:07:00,68,
2026.08.25 00:08:00,00:08:00,69,
2026.08.25 00:09:00,00:09:00,70,
2026.08.25 00:10:00,00:10:00,71,
2026.08.25 00:11:00,00:11:00,70,
2026.08.25 00:12:00,00:12:00,72,
2026.08.25 00:13:00,00:13:00,69,
2026.08.25 00:14:00,00:14:00,71,
2026.08.25 00:15:00,00:15:00,72,
2026.08.25 00:16:00,00:16:00,72,
2026.08.25 00:17:00,00:17:00,73,
2026.08.25 00:18:00,00:18:00,71,
2026.08.25 00:19:00,00:19:00,69,
2026.08.25 00:20:00,00:20:00,74,
2026.08.25 00:21:00,00:21:00,72,
2026.08.25 00:22:00,00:22:00,72,
2026.08.25 00:23:00,00:23:00,72,
2026.08.25 00:24:00,00:24:00,74,
2026.08.25 00:25:00,00:25:00,73,
2026.08.25 00:26:00,00:26:00,74,
2026.08.25 00:27:00,00:27:00,75,
2026.08.25 00:28:00,00:28:00,76,
2026.08.25 00:29:00,00:29:00,75,
2026.08.25 00:30:00,00:30:00,74,
2026.08.25 00:31:00,00:31:00,77,
2026.08.25 00:32:00,00:32:00,80,
2026.08.25 00:33:00,00:33:00,71,
2026.08.25 00:34:00,00:34:00,72,
2026.08.25 00:35:00,00:35:00,70,
2026.08.25 00:36:00,00:36:00,67,
2026.08.25 00:37:00,00:37:00,72,
2026.08.25 00:38:00,00:38:00,72,
2026.08.25 00:39:00,00:39:00,70,
2026.08.25 00:40:00,00:40:00,76,
2026.08.25 00:41:00,00:41:00,74,
2026.08.25 00:42:00,00:42:00,73,
2026.08.25 00:43:00,00:43:00,70,
2026.08.25 00:44:00,00:44:00,76,
2026.08.25 00:45:00,00:45:00,74,
2026.08.25 00:46:00,00:46:00,73,
2026.08.25 00:47:00,00:47:00,74,
