Date,Time,Heart rate,Source
2026.08.15 00:00:00,00:00:00,71,
2026.08.15 00:01:00,00:01:00,66,
2026.08.15 00:02:00,00:02:00,70,
2026.08.15 00:03:00,00:03:00,80,
2026.08.15 00:04:00,00:04:00,82,
2026.08.15 00:05:00,00:05:00,59,
2026.08.15 00:06:00,00:06:00,61,
2026.08.15 00:07:00,00:07:00,58,
2026.08.15 00:08:00,00:08:00,59,
2026.08.15 00:09:00,00:09:00,64,
2026.08.15 00:10:00,00:10:00,60,
2026.08.15 00:11:00,00:11:00,60,
2026.08.15 00:12:00,00:12:00,60,
2026.08.15 00:13:00,00:13:00,64,
2026.08.15 00:14:00,00:14:00,60,
2026.08.15 00:15:00,00:15:00,64,
2026.08.15 00:16:00,00:16:00,63,
2026.08.15 00:17:00,00:17:00,63,
2026.08.15 00:18:00,00:18:00,64,
2026.08.15 00:19:00,00:19:00,64,
2026.08.15 00:20:00,00:20:00,63,
2026.08.15 00:21:00,00:21:00,64,
2026.08.15 00:22:00,00:22:00,63,
2026.08.15 00:23:00,00:23:00,63,
2026.08.15 00:24:00,00:24:00,64,
2026.08.15 00:25:00,00:25:00,65,
2026.08.15 00:26:00,00:26:00,61,
2026.08.15 00:27:00,00:27:00,63,
2026.08.15 00:28:00,00:28:00,64,
2026.08.15 00:29:00,00:29:00,63,
2026.08.15 00:30:00,00:30:00,63,
2026.08.15 00:31:00,00:31:00,64,
2026.08.15 00:32:00,00:32:00,65,
2026.08.15 00:33:00,00:33:00,64,
2026.08.15 00:34:00,00:34:00,66,
2026.08.15 00:35:00,00:35:00,63,
2026.08.15 00:36:00,00:36:00,65,
2026.08.15 00:37:00,00:37:00,64,
2026.08.15 00:38:00,00:38:00,64,
2026.08.15 00:39:00,00:39:00,71,
2026.08.15 00:40:00,00:40:00,55,
2026.08.15 00:41:00,00:41:00,66,
2026.08.15 00:42:00,00:42:00,63,
2026.08.15 00:43:00,00:43:00,61,
2026.08.15 00:44:00,00:44:00,64,
2026.08.15 00:45:00,00:45:00,64,
2026.08.15 00:46:00,00:46:00,64,
2026.08.15 00:47:00,00:47:00,64,
2026.08.15 00:48:00,00:48:00,64,
2026.08.15 00:49:00,00:49:00,69,
2026.08.15 00:50:00,00:50:00,62,
2026.08.15 00:51:00,00:51:00,64,
2026.08.15 00:52:00,00:52:00,62,
2026.08.15 00:53:00,00:53:00,86,
2026.08.15 00:54:00,00:54:00,65,
2026.08.15 00:55:00,00:55:00,70,
2026.08.15 00:56:00,00:56:00,54,
2026.08.15 00:57:00,00:57:00,52,
2026.08.15 00:58:00,00:58:00,55,
